mesh	collision_flag	triangles	simple_shapes	has_nav_data
Nature/Rocks/SM_Rock_Wall_5	CTF_UseComplexAsSimple	41084	none	True
Nature/Rocks/SM_Rock_Mesa_Sharp_2	CTF_UseComplexAsSimple	27397	none	True
Nature/Rocks/SM_Rock_Mesa_Sharp_3	CTF_UseComplexAsSimple	25574	none	True
Nature/Rocks/SM_Rock_Cliff_Terrace4	CTF_UseComplexAsSimple	24328	none	True
Nature/Rocks/SM_Rock_Mesa_Sharp_1	CTF_UseComplexAsSimple	24168	none	True
Nature/Rocks/SM_Rock_Cliff_Terrace1	CTF_UseComplexAsSimple	22096	convexElems=1	True
Nature/Rocks/SM_Rock_Cliff_Terrace2	CTF_UseComplexAsSimple	21324	convexElems=1	True
Nature/Rocks/SM_Rock_Cliff_Terrace3	CTF_UseComplexAsSimple	20972	none	True
Nature/Rocks/SM_Rock_Wall_2	CTF_UseComplexAsSimple	20150	none	True
Nature/Rocks/SM_Rock_Cliff_Slope1	CTF_UseComplexAsSimple	19926	convexElems=1	True
Nature/Rocks/SM_Rock_Wall_3	CTF_UseComplexAsSimple	19827	none	True
Nature/Rocks/SM_Rock_Cliff_Slope2	CTF_UseComplexAsSimple	18434	convexElems=1	True
Nature/Rocks/SM_Rock_Wall_1	CTF_UseComplexAsSimple	17998	convexElems=1	True
Nature/Rocks/SM_Rock_Wall_4	CTF_UseComplexAsSimple	17070	none	True
Nature/Rocks/SM_Rock_Cliff_SlopeWall1	CTF_UseComplexAsSimple	16462	convexElems=1	True
Nature/Rocks/SM_Rock_Cliff_SlopeWall2	CTF_UseComplexAsSimple	16304	convexElems=1	True
Nature/Rocks/SM_Pillar_Rock_2	CTF_UseComplexAsSimple	15724	convexElems=1	True
Nature/Rocks/SM_Pillar_Rock_1	CTF_UseComplexAsSimple	15467	convexElems=1	True
Nature/Rocks/SM_Rock_Cliff_SlopeWall3	CTF_UseComplexAsSimple	14077	none	True
Nature/Rocks/SM_Rock_Cliff_SlopeWall4	CTF_UseComplexAsSimple	13588	none	True
Nature/Rocks/SM_Plate_Rock_4	CTF_UseComplexAsSimple	12530	convexElems=1	True
Nature/Rocks/SM_Volcanic_Pools3	CTF_UseComplexAsSimple	12225	convexElems=1	True
Nature/Rocks/SM_Plate_Rock_3	CTF_UseComplexAsSimple	11394	convexElems=1	True
Nature/Rocks/SM_Volcanic_Pools5	CTF_UseComplexAsSimple	11214	convexElems=1	True
Nature/Rocks/SM_Volcanic_Pools1	CTF_UseComplexAsSimple	10692	convexElems=1	True
Nature/Rocks/SM_Volcanic_Pools4	CTF_UseComplexAsSimple	10529	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa6	CTF_UseComplexAsSimple	9728	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa7	CTF_UseComplexAsSimple	9668	convexElems=1	True
Nature/Rocks/SM_Volcanic_Pools2	CTF_UseComplexAsSimple	9508	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa8	CTF_UseComplexAsSimple	9262	convexElems=1	True
Nature/Foliage/Arctic/SM_Arctic_Curvoid_Tree1	CTF_UseComplexAsSimple	9031	none	True
Nature/Rocks/SM_Medium_Rock_4	CTF_UseComplexAsSimple	8207	convexElems=1	True
Nature/Foliage/Arctic/SM_Arctic_Curvoid_Tree3	CTF_UseComplexAsSimple	7350	none	True
Nature/Rocks/SM_Medium_Rock_1	CTF_UseComplexAsSimple	7083	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa4	CTF_UseComplexAsSimple	6834	convexElems=1	True
Nature/Foliage/Arctic/SM_Arctic_Curvoid_Tree2	CTF_UseComplexAsSimple	6572	none	True
Nature/Rocks/SM_Medium_Rock_2	CTF_UseComplexAsSimple	6189	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa2	CTF_UseComplexAsSimple	5582	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_3	CTF_UseComplexAsSimple	5540	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_7	CTF_UseComplexAsSimple	5086	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_5	CTF_UseComplexAsSimple	4956	convexElems=1	True
Nature/Rocks/SM_Volcanic_Island1	CTF_UseComplexAsSimple	4831	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_6	CTF_UseComplexAsSimple	4619	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa3	CTF_UseComplexAsSimple	4552	convexElems=1	True
Nature/Soil/SM_Soil_Steep5	CTF_UseComplexAsSimple	4404	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa5	CTF_UseComplexAsSimple	4114	convexElems=1	True
Nature/Rocks/SM_Volcanic_Island2	CTF_UseComplexAsSimple	3700	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_9	CTF_UseComplexAsSimple	3681	convexElems=1	True
Nature/Soil/SM_Soil_Steep1	CTF_UseComplexAsSimple	3550	convexElems=1	True
Nature/Soil/SM_Soil_Steep4	CTF_UseComplexAsSimple	3527	convexElems=1	True
Nature/Soil/SM_Soil_Steep3	CTF_UseComplexAsSimple	3423	convexElems=1	True
Nature/Rocks/SM_Medium_Rock_8	CTF_UseComplexAsSimple	3362	convexElems=1	True
Nature/Soil/SM_Soil_Steep2	CTF_UseComplexAsSimple	3327	convexElems=1	True
Nature/Rocks/SM_Cave_Hexa1	CTF_UseComplexAsSimple	3064	convexElems=1	True
